Município;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;Total
350550 Barretos;74;60;58;80;57;77;53;70;78;71;71;68;84;55;65;77;56;84;71;1309
350560 Barrinha;23;26;19;19;16;19;29;24;20;13;10;14;17;16;18;11;14;20;21;349
350570 Barueri;220;213;232;290;243;267;244;242;183;191;159;163;132;151;163;137;175;139;168;3712
350580 Bastos;14;15;12;8;15;17;5;8;6;9;12;11;12;11;8;12;20;8;18;221
350590 Batatais;30;25;29;28;28;26;39;24;33;34;24;15;23;34;35;27;37;20;18;529
350600 Bauru;186;193;194;221;199;192;227;218;211;195;189;161;182;167;199;189;182;194;193;3692
350610 Bebedouro;49;58;47;41;63;38;48;31;48;43;33;44;43;36;55;38;49;45;44;853
350620 Bento de Abreu;1;3;1;-;1;3;2;2;-;1;3;1;1;-;1;-;1;-;1;22
350630 Bernardino de Campos;7;17;6;7;13;17;9;4;13;4;6;4;11;9;3;9;8;5;8;160
350635 Bertioga;52;31;33;36;33;41;45;32;44;37;38;37;38;32;30;31;32;39;36;697
350640 Bilac;3;2;2;4;2;2;4;3;5;3;3;5;1;6;7;8;7;3;3;73
350650 Birigui;63;56;60;59;67;66;67;55;68;71;66;43;54;58;42;42;56;45;53;1091
350660 Biritiba-Mirim;14;12;21;15;12;15;17;15;20;14;14;8;11;20;22;9;25;14;22;300
350670 Boa Esperança do Sul;9;8;5;11;5;6;9;7;7;9;6;8;7;9;6;4;7;3;7;133
350680 Bocaina;7;3;7;3;5;10;6;7;4;5;5;7;11;8;12;7;6;12;3;128
350690 Bofete;3;11;13;5;8;5;1;5;9;15;7;8;6;3;8;6;7;7;10;137
350700 Boituva;24;17;13;24;15;22;27;27;18;22;36;21;23;20;19;26;45;23;31;453
350710 Bom Jesus dos Perdões;12;15;7;12;11;11;13;14;17;15;9;22;13;14;19;16;17;10;14;261
350715 Bom Sucesso de Itararé;1;-;1;1;1;3;1;2;1;3;5;1;2;2;3;4;3;-;2;36
350720 Borá;-;1;1;-;1;1;-;-;1;-;1;1;-;-;-;-;1;-;1;9
350730 Boracéia;3;-;1;-;-;3;1;3;1;-;1;3;-;-;4;1;1;2;7;31
350740 Borborema;8;15;10;7;7;11;3;10;8;4;10;16;7;7;5;8;7;6;31;180
350745 Borebi;-;-;1;-;-;-;1;-;-;2;-;2;1;2;-;-;4;-;1;14
350750 Botucatu;83;85;56;74;80;68;94;68;81;66;82;67;72;77;62;88;82;72;65;1422
350760 Bragança Paulista;85;101;64;59;69;83;74;93;79;105;84;95;86;79;91;87;93;78;90;1595
350770 Braúna;2;3;3;2;4;1;1;1;3;7;2;1;1;2;2;4;2;2;8;51
350775 Brejo Alegre;-;3;-;3;1;1;1;4;2;1;2;3;4;-;1;4;2;1;2;35
350780 Brodowski;12;15;15;10;11;8;12;11;12;7;12;7;7;5;24;7;12;6;12;205
350790 Brotas;10;13;4;22;5;12;15;9;9;14;10;10;8;12;11;10;13;12;12;211
350800 Buri;7;14;12;4;10;17;16;6;7;9;19;10;13;12;13;15;15;15;11;225
350810 Buritama;4;6;8;10;8;12;9;6;11;5;11;8;11;9;5;11;14;6;12;166
350820 Buritizal;1;5;2;3;1;-;1;3;2;2;2;3;1;4;3;1;2;-;4;40
350830 Cabrália Paulista;2;4;5;4;5;1;2;4;2;1;2;3;1;3;3;2;4;5;4;57
350840 Cabreúva;16;24;23;34;26;24;35;30;24;28;20;15;29;13;16;26;23;25;24;455
350850 Caçapava;49;56;60;47;47;60;48;80;62;49;47;51;42;43;36;54;45;28;27;931
350860 Cachoeira Paulista;25;18;20;15;9;11;15;15;13;16;12;7;18;17;22;15;17;17;24;306
350870 Caconde;13;16;11;15;11;9;17;11;10;8;10;10;4;8;5;12;19;7;10;206
350880 Cafelândia;8;8;12;13;6;8;8;7;18;6;10;8;10;10;16;13;16;15;6;198
350890 Caiabu;1;6;2;3;4;2;2;2;2;5;2;-;1;2;1;2;3;1;2;43
350900 Caieiras;54;64;44;65;42;53;44;42;65;39;47;37;40;41;48;40;38;43;40;886
350910 Caiuá;-;1;3;2;1;-;1;2;2;2;5;1;3;1;3;3;3;2;-;35
350920 Cajamar;43;42;53;59;45;46;44;61;45;46;43;34;33;37;38;41;53;35;47;845
350925 Cajati;28;29;25;25;19;21;22;19;21;29;21;14;16;18;22;16;18;20;20;403
350930 Cajobi;8;6;6;5;6;3;5;2;5;7;3;2;1;4;3;10;3;6;4;89
350940 Cajuru;18;14;9;10;12;24;19;13;16;12;11;18;10;10;10;17;7;17;13;260
350945 Campina do Monte Alegre;1;2;1;4;3;6;3;2;3;4;-;1;3;1;2;1;3;1;8;49
350950 Campinas;886;975;1020;1068;983;991;1004;930;830;608;578;624;623;613;632;651;634;630;619;14899
350960 Campo Limpo Paulista;41;43;51;47;39;57;69;47;63;51;55;34;45;42;44;41;51;56;42;918
350970 Campos do Jordão;34;38;31;34;36;26;33;43;34;36;45;29;25;28;31;26;25;26;23;603
350980 Campos Novos Paulista;5;4;1;1;2;5;2;3;7;6;1;3;3;4;2;-;4;4;5;62
350990 Cananéia;14;9;6;9;4;7;8;10;7;11;8;4;6;5;8;3;5;4;10;138
350995 Canas;-;3;4;4;1;-;2;4;9;3;-;1;3;3;1;3;7;5;1;54
351000 Cândido Mota;16;16;17;17;12;11;16;16;21;23;11;9;11;16;18;15;8;22;10;285
351010 Cândido Rodrigues;2;1;-;1;1;-;2;1;2;-;-;1;1;-;1;2;2;1;-;18
351015 Canitar;3;1;1;4;2;4;3;1;1;3;2;1;-;3;2;3;1;2;3;40
351020 Capão Bonito;50;44;29;45;46;35;26;40;36;36;32;28;24;22;30;16;37;25;30;631
351030 Capela do Alto;6;10;14;18;14;11;9;11;7;12;9;6;11;11;10;17;5;13;10;204
351040 Capivari;23;29;19;19;15;31;35;20;34;38;26;17;28;26;22;39;29;32;24;506
351050 Caraguatatuba;81;84;83;89;95;102;102;107;113;110;96;79;92;89;77;105;77;88;77;1746
351060 Carapicuíba;313;289;303;318;286;337;334;303;248;242;233;191;197;209;189;164;174;179;210;4719
351070 Cardoso;9;7;10;15;10;2;15;5;10;4;7;6;11;4;9;4;10;7;11;156
351080 Casa Branca;18;26;29;20;17;24;22;19;23;20;26;12;13;16;17;16;14;23;18;373
351090 Cássia dos Coqueiros;1;1;1;2;-;3;1;1;2;-;-;5;1;3;1;-;-;2;1;25
351100 Castilho;5;6;16;13;4;4;11;11;14;14;10;12;8;7;11;8;15;22;16;207
351110 Catanduva;68;81;63;59;73;66;60;64;76;98;97;103;80;76;85;84;82;85;68;1468
351120 Catiguá;2;3;2;4;1;2;3;1;7;5;1;6;3;4;4;4;5;6;8;71
351130 Cedral;9;4;3;6;3;4;4;3;5;7;4;3;6;5;8;10;3;5;6;98
351140 Cerqueira César;10;4;6;5;7;6;6;6;7;12;8;4;5;8;9;10;6;10;10;139
351150 Cerquilho;23;26;13;26;13;17;7;28;29;25;26;22;24;19;35;21;16;21;21;412
351160 Cesário Lange;4;11;7;6;7;6;6;8;8;6;9;9;9;10;11;9;8;4;10;148
351170 Charqueada;5;2;8;9;7;7;10;11;3;8;16;4;9;7;8;7;8;5;12;146
355720 Chavantes;5;6;5;6;5;8;10;6;7;8;6;8;3;1;8;3;2;5;7;109
351190 Clementina;4;3;2;1;4;4;6;9;4;3;4;2;4;1;1;1;6;2;2;63
351200 Colina;4;7;11;11;15;14;12;6;12;17;15;8;10;4;10;4;9;9;11;189
351210 Colômbia;1;5;5;6;1;7;3;3;5;3;4;1;5;6;7;8;3;7;3;83
351220 Conchal;27;20;24;15;11;22;12;14;22;24;19;5;18;13;9;18;21;17;14;325
351230 Conchas;5;13;12;9;13;15;7;7;13;11;11;15;9;11;10;10;11;13;15;210
351240 Cordeirópolis;12;11;19;10;13;12;11;15;17;7;13;14;13;7;12;14;6;11;10;227
351250 Coroados;1;2;3;2;-;4;1;3;3;5;1;-;2;1;3;1;1;3;4;40
351260 Coronel Macedo;3;3;3;2;1;2;6;3;4;2;-;6;3;1;2;2;5;4;5;57
351270 Corumbataí;2;1;1;2;3;2;2;-;3;6;3;4;6;4;2;2;2;2;2;49
351280 Cosmópolis;18;29;38;35;36;41;35;29;39;35;26;32;36;32;30;22;18;27;43;601
351290 Cosmorama;2;7;8;4;9;6;2;7;8;9;4;6;9;2;5;8;3;6;4;109
351300 Cotia;139;146;174;167;192;212;201;163;143;148;118;129;106;106;122;107;95;116;121;2705
351310 Cravinhos;22;14;18;17;15;19;20;17;9;18;22;23;8;22;14;19;21;9;31;338
351320 Cristais Paulista;4;2;2;10;7;1;7;2;9;7;6;5;6;4;6;7;6;2;6;99
351330 Cruzália;1;2;3;-;-;1;1;1;2;1;1;-;1;1;2;3;1;2;3;26
351340 Cruzeiro;44;39;38;43;36;44;39;51;43;40;39;31;37;37;30;35;33;30;30;719
351350 Cubatão;128;135;118;143;140;132;155;147;134;99;99;98;84;106;72;72;72;90;66;2090
351360 Cunha;20;11;19;13;13;12;18;18;10;13;9;1;9;19;16;15;12;11;15;254
351370 Descalvado;10;14;17;17;12;9;12;16;14;19;23;17;15;12;24;17;12;23;23;306
351380 Diadema;652;683;665;682;554;496;536;466;401;417;283;271;316;263;310;249;241;290;263;8038
351385 Dirce Reis;-;1;2;1;-;1;-;2;-;1;-;-;-;-;1;1;2;-;2;14
351390 Divinolândia;10;1;6;5;8;5;9;5;5;12;3;3;7;9;3;6;11;9;10;127
351400 Dobrada;3;3;2;2;6;4;5;6;4;3;6;6;5;2;4;4;3;4;3;75
351410 Dois Córregos;9;19;13;16;11;9;13;14;19;21;16;12;14;16;24;16;34;19;24;319
351420 Dolcinópolis;2;-;1;1;1;2;2;1;-;-;1;1;-;-;1;-;1;1;-;15
351430 Dourado;6;2;1;3;3;3;4;4;2;1;1;4;8;5;8;7;2;12;8;84
351440 Dracena;29;23;23;35;21;23;20;26;28;18;25;14;21;27;22;27;37;20;19;458
351450 Duartina;5;11;6;5;7;2;11;4;6;8;6;6;3;7;2;4;7;12;3;115
351460 Dumont;-;3;2;5;1;3;2;4;3;5;3;3;4;2;6;8;5;4;6;69
351470 Echaporã;5;3;2;6;3;6;9;1;2;2;3;4;5;7;5;3;3;3;2;74
351480 Eldorado;8;26;7;8;10;13;16;17;11;9;6;2;11;10;6;14;13;13;17;217
351490 Elias Fausto;11;10;5;9;9;8;8;20;11;6;5;4;6;10;9;9;10;11;7;168
351492 Elisiário;1;5;1;1;-;4;1;-;-;5;1;4;2;1;3;1;4;3;3;40
351495 Embaúba;2;2;-;5;-;-;1;1;2;-;1;2;4;-;3;-;4;5;1;33
351500 Embu das Artes;298;317;315;314;312;356;329;254;249;230;193;148;152;150;178;169;163;150;170;4447
351510 Embu-Guaçu;67;54;68;101;71;82;90;76;72;75;56;46;59;54;28;45;59;47;49;1199
351512 Emilianópolis;4;-;-;-;1;1;3;-;-;2;-;-;-;1;-;-;1;1;-;14
351515 Engenheiro Coelho;4;9;9;2;8;6;13;10;6;12;8;5;9;10;8;13;8;13;13;166
351518 Espírito Santo do Pinhal;32;34;27;28;21;19;18;19;31;19;20;19;21;19;25;19;15;16;17;419
351519 Espírito Santo do Turvo;3;8;3;5;3;1;2;2;3;4;2;3;1;2;3;1;2;3;4;55
355730 Estiva Gerbi;4;2;3;4;4;5;4;1;3;1;4;2;10;5;9;4;3;8;6;82
351520 Estrela d'Oeste;2;5;2;5;2;7;4;6;8;3;2;3;4;9;4;5;3;8;4;86
351530 Estrela do Norte;1;2;2;-;1;-;3;-;-;-;2;1;2;1;3;1;2;-;1;22
351535 Euclides da Cunha Paulista;9;7;5;6;13;4;10;7;3;4;3;6;9;9;5;3;9;8;3;123
351540 Fartura;8;15;13;6;11;11;12;9;12;6;3;6;7;11;9;13;8;5;8;173
351560 Fernando Prestes;2;5;2;2;1;3;-;5;2;1;2;2;6;5;6;4;6;3;2;59
351550 Fernandópolis;37;45;41;44;44;34;45;45;25;32;25;17;35;49;37;39;32;41;36;703
351565 Fernão;-;1;-;2;1;-;-;-;-;1;-;-;3;1;-;2;-;2;1;14
351570 Ferraz de Vasconcelos;117;116;119;143;138;136;143;157;129;112;100;56;79;75;78;69;100;86;76;2029
351580 Flora Rica;2;-;1;1;3;1;-;2;1;1;-;2;1;-;1;3;-;2;-;21
351590 Floreal;4;3;2;3;2;-;2;4;3;4;2;1;-;-;1;3;3;1;-;38
351600 Flórida Paulista;2;5;4;6;5;12;6;6;3;4;7;5;4;5;7;6;13;6;11;117
351610 Florínia;8;2;2;2;-;1;2;-;1;1;-;1;1;3;1;2;-;4;-;31
351620 Franca;175;165;137;122;141;168;169;158;184;186;152;157;153;134;160;165;163;134;155;2978
351630 Francisco Morato;110;129;144;165;133;139;127;135;120;128;110;81;78;80;63;88;88;76;92;2086
351640 Franco da Rocha;134;91;128;107;108;82;108;127;115;100;95;87;80;90;76;91;92;76;76;1863
351650 Gabriel Monteiro;2;3;2;-;2;-;-;7;1;2;4;-;-;2;1;1;7;1;1;36
351660 Gália;4;12;2;9;6;4;6;-;2;5;4;5;1;8;6;1;2;3;7;87
351670 Garça;25;32;39;26;38;21;26;26;27;26;16;19;25;19;27;15;26;20;20;473
351680 Gastão Vidigal;1;3;1;3;2;1;5;2;4;1;6;3;3;6;2;-;2;2;-;47
351685 Gavião Peixoto;-;2;4;5;2;2;1;4;3;2;2;2;3;4;-;2;2;-;1;41
351690 General Salgado;7;4;12;6;6;3;8;6;7;4;6;3;2;4;12;7;9;9;13;128
351700 Getulina;10;7;6;5;3;3;3;5;4;7;5;7;13;2;4;8;2;2;8;104
351710 Glicério;2;3;1;2;-;2;3;2;2;1;3;1;-;1;3;3;5;4;6;44
351720 Guaiçara;9;7;3;4;5;10;4;7;6;8;4;8;7;8;12;4;6;6;10;128
351730 Guaimbê;3;2;1;4;4;3;3;4;1;3;5;4;6;5;2;4;5;4;12;75
351740 Guaíra;21;29;20;25;17;26;27;25;24;26;23;19;28;21;20;18;31;25;25;450
351750 Guapiaçu;9;9;6;10;4;9;11;10;7;5;6;12;8;5;4;13;16;17;6;167
351760 Guapiara;11;23;20;17;14;13;13;9;15;8;4;22;15;14;17;17;14;20;16;282
351770 Guará;14;14;10;7;12;8;15;19;13;10;9;7;12;10;11;10;11;10;11;213
351780 Guaraçaí;6;2;5;5;4;2;5;3;1;4;2;5;5;6;4;5;2;2;5;73
351790 Guaraci;6;7;5;4;6;6;3;5;9;2;6;5;9;4;6;5;6;6;6;106
351800 Guarani d'Oeste;6;-;-;1;-;-;-;4;1;2;-;3;1;2;1;2;1;-;-;24
351810 Guarantã;3;3;7;2;1;7;2;5;5;4;3;6;6;6;5;3;3;5;5;81
351820 Guararapes;24;10;16;9;9;8;9;19;24;20;13;10;16;17;22;16;20;17;18;297
351830 Guararema;23;29;20;32;16;22;24;27;18;17;19;6;18;27;15;10;18;18;19;378
351840 Guaratinguetá;77;73;70;65;52;64;54;61;66;62;54;59;59;68;77;64;84;58;74;1241
351850 Guareí;8;6;10;10;7;4;5;6;4;10;11;8;7;12;5;7;6;5;4;135
351860 Guariba;19;26;21;22;23;20;24;16;29;18;21;10;19;16;21;30;26;24;23;408
351870 Guarujá;296;335;372;385;349;302;343;288;224;206;215;182;199;164;187;179;184;183;190;4783
351880 Guarulhos;1076;1109;1191;1253;1279;1241;1266;1108;910;914;942;861;841;741;767;812;827;737;859;18734
351885 Guatapará;4;6;1;6;2;11;1;6;5;3;3;3;2;8;10;5;4;5;5;90
351890 Guzolândia;4;4;2;4;2;1;3;4;2;-;3;1;8;4;4;6;4;-;3;59
351900 Herculândia;5;1;1;3;9;6;4;9;4;4;4;5;7;5;6;6;4;2;8;93
351905 Holambra;6;3;1;6;3;7;4;3;4;5;4;1;3;9;9;8;7;9;5;97
351907 Hortolândia;124;101;134;156;160;167;158;172;169;151;125;103;107;118;100;97;118;108;125;2493
351910 Iacanga;3;8;5;1;5;5;6;4;2;3;6;1;10;8;4;3;5;9;12;100
351920 Iacri;2;4;4;-;4;4;2;2;1;6;6;3;6;4;3;5;3;4;6;69
351925 Iaras;1;4;5;2;2;2;4;4;7;6;1;2;-;5;1;1;2;1;6;56
