Município;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;Total
352390 Itu;94;102;93;122;92;112;111;101;103;93;99;95;96;82;83;114;93;77;90;1852
352400 Itupeva;6;17;14;18;19;17;25;21;23;21;32;19;18;29;27;25;24;25;24;404
352410 Ituverava;18;20;20;18;17;26;17;26;21;30;22;19;22;23;16;21;10;20;17;383
352420 Jaborandi;3;3;1;-;1;3;6;4;3;2;-;-;4;3;-;6;3;3;3;48
352430 Jaboticabal;40;50;43;43;47;43;46;46;50;40;41;34;22;46;48;26;42;48;43;798
352440 Jacareí;183;230;193;173;186;197;174;160;165;143;108;119;112;132;119;141;148;148;133;2964
352450 Jaci;2;-;2;2;1;7;4;5;-;5;4;2;3;5;3;1;3;3;8;60
352460 Jacupiranga;14;20;19;13;12;16;14;16;13;9;8;8;12;13;10;9;11;10;15;242
352470 Jaguariúna;17;35;14;18;27;29;25;24;29;17;29;20;35;22;30;19;29;17;19;455
352480 Jales;32;30;25;31;33;35;23;29;37;27;13;10;27;32;33;24;31;24;40;536
352490 Jambeiro;4;5;1;5;4;1;2;8;5;2;4;7;4;2;1;2;5;2;4;68
352500 Jandira;84;110;92;114;89;95;71;84;59;80;89;61;53;45;40;57;65;57;55;1400
352510 Jardinópolis;21;19;15;16;9;24;19;17;23;20;17;21;17;19;20;25;23;24;24;373
352520 Jarinu;23;21;13;10;13;16;19;11;24;16;17;20;17;15;17;26;16;20;22;336
352530 Jaú;66;67;54;72;48;53;60;45;70;80;66;62;82;66;72;80;60;61;74;1238
352540 Jeriquara;3;-;4;4;3;4;4;2;5;1;2;-;3;3;1;1;4;1;-;45
352550 Joanópolis;7;7;5;5;7;6;4;7;9;10;6;6;10;7;11;12;9;3;9;140
352560 João Ramalho;3;4;2;2;-;2;2;2;-;2;2;2;3;3;1;1;1;2;1;35
352570 José Bonifácio;24;16;19;17;12;21;14;16;19;25;12;18;15;19;22;23;20;19;25;356
352580 Júlio Mesquita;1;4;2;5;5;6;2;1;4;2;3;4;2;3;3;-;9;3;4;63
352585 Jumirim;-;2;-;1;1;1;1;-;1;4;2;1;1;-;1;1;3;-;3;23
352590 Jundiaí;235;277;254;230;209;257;226;214;217;202;224;186;198;197;168;200;194;201;197;4086
352600 Junqueirópolis;8;11;10;5;9;3;4;10;7;5;7;9;11;9;14;9;11;12;12;166
352610 Juquiá;31;28;28;27;14;30;31;17;33;27;34;12;20;23;18;26;19;17;15;450
352620 Juquitiba;45;36;33;44;39;24;45;40;42;52;26;13;30;27;40;33;23;30;19;641
352630 Lagoinha;4;2;-;5;2;6;1;4;3;6;3;3;6;-;6;2;3;8;1;65
352640 Laranjal Paulista;20;21;6;10;10;10;14;11;24;20;15;6;15;15;16;20;10;20;17;280
352650 Lavínia;4;3;4;1;1;-;1;2;4;4;4;-;2;2;7;5;2;3;3;52
352660 Lavrinhas;11;2;8;3;4;5;1;1;5;7;3;7;3;2;2;5;-;5;4;78
352670 Leme;56;46;62;79;53;46;67;60;55;62;70;56;57;58;62;46;54;57;53;1099
352680 Lençóis Paulista;25;24;31;27;28;24;29;18;30;29;27;11;29;30;24;22;18;28;26;480
352690 Limeira;138;142;167;150;174;173;141;194;151;156;161;137;123;128;137;159;164;161;132;2888
352700 Lindóia;8;8;1;6;5;5;3;5;1;4;4;4;3;4;5;2;2;5;1;76
352710 Lins;30;32;47;49;36;35;41;35;53;42;48;50;40;42;46;40;40;38;35;779
352720 Lorena;61;67;68;78;68;80;77;81;59;72;41;43;38;48;49;72;43;36;57;1138
352725 Lourdes;1;1;2;1;1;3;-;1;1;2;-;-;3;-;1;2;2;2;1;24
352730 Louveira;22;10;17;19;21;12;20;20;23;29;17;22;16;21;12;16;14;22;26;359
352740 Lucélia;8;11;13;4;11;10;6;9;11;12;1;10;10;9;8;14;11;10;5;173
352750 Lucianópolis;3;3;1;1;1;4;1;1;-;1;2;2;1;-;4;-;1;1;1;28
352760 Luís Antônio;1;6;4;8;4;1;9;4;6;5;5;6;2;7;2;4;4;5;8;91
352770 Luiziânia;2;1;1;3;2;3;2;2;3;4;3;3;2;5;2;6;11;3;5;63
352780 Lupércio;1;4;7;2;4;1;-;2;-;4;4;-;3;2;4;3;1;5;6;53
352790 Lutécia;1;-;-;2;-;2;1;-;2;1;1;-;1;1;1;-;2;1;3;19
352800 Macatuba;13;35;12;5;9;5;3;11;8;6;9;5;3;11;8;6;8;8;6;171
352810 Macaubal;3;3;5;3;3;10;4;7;2;8;6;1;4;3;8;1;6;7;2;86
352820 Macedônia;1;1;3;2;-;-;3;1;3;4;-;1;-;3;1;2;3;2;-;30
352830 Magda;1;1;2;2;3;1;3;2;2;1;2;3;1;1;-;3;1;3;7;39
352840 Mairinque;38;42;46;34;47;34;48;48;39;47;36;40;30;37;28;25;34;44;31;728
352850 Mairiporã;79;70;80;73;82;66;75;75;62;70;63;59;63;71;52;68;63;53;53;1277
352860 Manduri;6;4;1;2;9;8;6;5;1;7;7;10;4;6;7;10;5;9;8;115
352870 Marabá Paulista;1;1;-;3;3;-;2;3;1;2;1;1;7;2;-;2;2;-;2;33
352880 Maracaí;9;10;14;8;9;11;8;7;5;11;6;1;10;6;7;6;8;11;12;159
352885 Marapoama;2;1;4;2;1;1;-;1;3;1;1;3;-;2;-;1;1;-;3;27
352890 Mariápolis;2;4;2;4;2;2;2;3;-;4;2;2;3;4;1;-;2;2;1;42
352900 Marília;134;118;95;131;110;120;118;128;128;128;120;114;112;120;117;112;139;131;122;2297
352910 Marinópolis;1;1;1;1;2;1;2;-;4;-;-;1;-;-;1;1;2;2;1;21
352920 Martinópolis;12;18;14;10;17;11;17;9;13;22;11;12;18;16;13;13;11;15;23;275
352930 Matão;37;35;43;34;33;47;43;33;45;42;35;47;37;42;35;47;50;41;32;758
352940 Mauá;344;320;335;403;388;378;379;310;314;281;227;239;252;275;184;214;213;210;206;5472
352950 Mendonça;1;5;3;1;4;2;1;2;6;3;-;4;5;3;2;8;4;3;3;60
352960 Meridiano;3;3;3;2;-;-;2;4;2;-;2;1;-;2;3;5;1;-;1;34
352965 Mesópolis;2;-;3;3;1;-;1;-;-;-;-;-;1;-;1;-;2;2;-;16
352970 Miguelópolis;10;11;10;12;10;15;22;17;13;11;8;6;13;8;11;7;10;9;17;220
352980 Mineiros do Tietê;10;8;6;4;8;8;6;4;6;4;5;9;9;6;6;4;5;2;7;117
353000 Mira Estrela;2;1;-;1;3;1;1;2;-;3;1;2;-;1;5;1;2;-;-;26
352990 Miracatu;50;40;33;39;28;37;23;28;36;24;23;14;26;32;17;16;22;17;14;519
353010 Mirandópolis;21;21;9;14;18;9;11;13;13;8;16;11;15;9;18;15;15;8;19;263
353020 Mirante do Paranapanema;6;11;7;11;11;11;11;4;4;12;6;12;9;8;8;13;10;7;13;174
353030 Mirassol;14;26;21;19;23;22;28;27;36;26;30;26;23;33;31;34;30;33;41;523
353040 Mirassolândia;-;4;4;1;2;5;-;4;1;2;2;2;4;3;3;4;2;3;3;49
353050 Mococa;37;35;35;31;24;33;44;29;31;35;45;26;31;38;29;31;33;20;31;618
353060 Mogi das Cruzes;308;262;246;259;205;237;233;253;273;226;188;200;225;185;180;199;238;237;246;4400
353070 Mogi Guaçu;66;88;69;76;81;62;84;104;72;88;63;57;69;62;66;78;79;81;81;1426
353080 Mogi Mirim;51;46;55;68;62;59;62;60;48;38;41;60;31;39;52;32;45;56;48;953
353090 Mombuca;2;3;-;2;1;1;3;6;3;1;4;2;1;1;3;3;3;1;6;46
353100 Monções;2;-;1;-;1;3;6;-;-;1;-;-;-;1;2;-;3;1;4;25
353110 Mongaguá;50;64;71;53;53;49;59;43;35;39;38;27;27;35;42;35;29;45;39;833
353120 Monte Alegre do Sul;5;6;8;1;5;6;6;7;2;2;3;2;7;4;4;3;7;3;2;83
353130 Monte Alto;15;21;30;27;12;19;23;19;20;28;21;18;28;19;19;20;34;35;31;439
353140 Monte Aprazível;8;10;10;11;12;10;6;8;21;14;15;20;13;14;15;11;18;13;8;237
353150 Monte Azul Paulista;12;7;12;12;8;5;15;9;10;15;15;14;9;11;11;9;21;11;12;218
353160 Monte Castelo;4;1;1;2;7;4;3;1;2;3;1;-;3;-;4;1;2;4;3;46
353180 Monte Mor;30;28;40;43;46;54;47;51;41;52;29;29;43;36;42;36;36;38;29;750
353170 Monteiro Lobato;2;4;8;2;-;2;2;2;6;2;2;2;4;2;-;1;2;4;5;52
353190 Morro Agudo;21;13;13;14;10;25;8;15;16;13;21;17;19;15;9;10;9;21;16;285
353200 Morungaba;7;3;7;6;4;9;5;7;12;11;4;2;8;7;11;14;2;2;2;123
353205 Motuca;3;-;-;2;-;1;1;6;3;2;2;1;-;3;-;4;2;5;3;38
353210 Murutinga do Sul;1;3;3;2;1;3;1;-;4;-;-;1;1;4;4;6;2;1;5;42
353215 Nantes;-;-;-;2;-;-;-;-;5;3;-;-;1;2;2;-;-;3;1;19
353220 Narandiba;5;1;-;2;1;1;2;2;-;2;6;2;4;1;4;1;3;2;2;41
353230 Natividade da Serra;7;3;6;10;5;1;4;8;10;5;3;2;8;6;5;6;6;4;5;104
353240 Nazaré Paulista;18;14;6;15;22;19;27;8;22;12;13;2;18;18;10;10;11;12;20;277
353250 Neves Paulista;2;6;2;2;7;5;8;5;6;10;4;4;4;1;2;2;6;5;9;90
353260 Nhandeara;2;7;5;4;4;11;8;5;11;6;8;6;10;8;10;15;12;9;5;146
353270 Nipoã;5;3;6;3;1;3;5;3;1;3;-;5;3;3;1;3;6;2;2;58
353280 Nova Aliança;1;2;3;3;1;3;1;3;1;4;8;2;6;3;6;1;5;11;3;67
353282 Nova Campina;3;3;2;1;6;4;5;5;7;3;3;1;2;4;5;2;3;3;2;64
353284 Nova Canaã Paulista;1;-;2;2;1;2;-;-;-;1;4;-;-;-;-;2;1;3;-;19
353286 Nova Castilho;-;2;-;-;-;-;2;2;2;-;1;-;-;2;2;-;-;-;-;13
353290 Nova Europa;4;2;4;6;3;3;12;4;2;9;4;3;4;7;7;5;5;5;6;95
353300 Nova Granada;15;5;11;10;13;17;16;8;13;15;6;14;8;12;14;14;16;13;15;235
353310 Nova Guataporanga;1;2;1;4;2;1;2;2;4;-;1;-;2;2;-;-;1;1;3;29
353320 Nova Independência;2;2;1;-;-;-;-;1;1;-;2;-;-;2;2;2;1;3;2;21
353330 Nova Luzitânia;2;-;-;2;4;2;1;-;2;-;2;2;3;-;3;-;3;1;4;31
353340 Nova Odessa;40;22;32;23;27;19;22;17;28;24;15;20;22;15;19;20;27;26;24;442
353325 Novais;1;-;1;3;2;3;-;-;2;-;-;-;2;2;1;1;5;2;3;28
353350 Novo Horizonte;23;22;12;23;16;16;17;13;18;29;24;18;35;21;16;29;20;27;20;399
353360 Nuporanga;1;2;7;3;2;5;3;6;3;7;1;2;2;4;2;5;5;5;3;68
353370 Ocauçu;1;2;4;4;1;2;4;2;1;5;-;3;1;6;1;4;-;2;3;46
353380 Óleo;1;1;2;1;7;3;4;2;2;2;3;2;2;3;1;3;4;-;1;44
353390 Olímpia;23;28;26;30;36;27;22;37;29;30;18;34;34;29;22;22;30;31;34;542
353400 Onda Verde;-;3;12;3;2;1;3;4;4;1;-;9;2;3;-;3;3;2;6;61
353410 Oriente;6;6;2;3;3;2;7;3;4;7;5;3;4;7;3;1;5;2;6;79
353420 Orindiúva;1;3;-;1;2;7;4;1;7;3;3;4;3;1;-;3;5;5;4;57
353430 Orlândia;24;16;14;21;23;20;24;18;21;15;24;14;16;28;23;24;15;16;15;371
353440 Osasco;747;745;648;745;709;823;796;694;499;501;450;450;488;453;422;384;381;366;419;10720
353450 Oscar Bressane;1;1;1;-;-;1;1;1;3;3;2;3;3;1;1;1;-;1;1;25
353460 Osvaldo Cruz;21;20;8;19;25;16;22;20;21;14;19;9;16;15;25;17;19;18;12;336
353470 Ourinhos;80;68;78;58;52;49;57;65;69;66;64;37;41;49;41;46;51;46;56;1073
353480 Ouro Verde;3;8;3;4;5;3;5;2;4;3;2;5;1;-;9;5;3;4;4;73
353475 Ouroeste;-;7;3;2;3;2;2;4;3;4;2;2;3;6;5;1;3;6;5;63
353490 Pacaembu;9;8;7;3;8;11;9;6;9;9;9;5;3;9;4;15;12;3;13;152
353500 Palestina;3;5;5;4;8;5;7;4;4;8;2;3;7;11;8;2;8;12;9;115
353510 Palmares Paulista;4;11;-;4;3;7;5;6;5;5;3;6;8;7;9;9;8;7;4;111
353520 Palmeira d'Oeste;4;6;2;5;4;3;8;3;8;5;7;2;3;6;5;11;6;5;6;99
353530 Palmital;12;15;11;16;14;13;11;10;10;27;11;8;10;8;11;11;10;12;16;236
353540 Panorama;12;11;11;13;10;9;12;9;10;3;6;8;10;12;15;20;7;8;7;193
353550 Paraguaçu Paulista;18;22;20;26;31;21;29;30;31;32;17;13;18;23;25;11;39;19;32;457
353560 Paraibuna;21;31;23;22;18;13;11;14;18;20;14;11;16;18;15;12;23;7;13;320
353570 Paraíso;3;5;4;4;3;3;2;4;2;3;4;6;1;7;1;-;5;2;2;61
353580 Paranapanema;6;11;4;4;10;11;6;10;9;15;12;5;13;10;5;7;11;11;12;172
353590 Paranapuã;2;1;1;4;1;-;1;2;2;2;1;1;1;-;1;1;4;7;2;34
353600 Parapuã;18;4;7;4;9;10;4;4;4;11;7;6;10;12;6;18;3;7;6;150
353610 Pardinho;2;1;3;2;2;3;2;5;2;4;1;4;3;9;1;3;6;2;3;58
353620 Pariquera-Açu;11;14;18;13;10;9;22;12;5;16;13;13;7;16;15;19;18;6;12;249
353625 Parisi;1;1;3;2;-;3;-;-;-;2;1;-;-;-;4;-;1;1;1;20
353630 Patrocínio Paulista;4;2;5;9;5;7;10;6;5;7;4;7;4;7;2;9;10;6;2;111
353640 Paulicéia;2;5;8;4;2;3;4;4;2;-;4;1;2;5;4;3;3;4;6;66
353650 Paulínia;41;50;30;35;33;49;39;45;57;35;36;39;32;37;48;48;41;41;47;783
353657 Paulistânia;-;-;-;-;-;1;-;2;-;1;2;-;1;1;-;1;-;3;-;12
353660 Paulo de Faria;6;10;8;4;1;5;8;11;4;4;6;7;5;11;9;2;6;10;4;121
353670 Pederneiras;22;28;14;32;30;28;13;18;26;25;27;34;21;23;27;26;29;24;27;474
353680 Pedra Bela;-;5;3;4;6;2;2;4;2;1;3;6;2;6;1;6;4;5;5;67
353690 Pedranópolis;1;1;-;1;1;-;-;2;3;1;-;-;1;-;2;2;1;2;4;22
353700 Pedregulho;15;11;10;9;9;7;10;13;9;11;10;1;9;14;8;14;7;5;15;187
353710 Pedreira;21;18;18;24;24;24;21;14;23;22;30;24;20;25;23;24;22;18;14;409
353715 Pedrinhas Paulista;2;1;2;-;1;1;1;2;1;2;1;-;-;1;1;1;3;1;2;23
353720 Pedro de Toledo;8;16;2;12;6;7;6;11;13;11;10;4;2;6;11;5;6;6;6;148
353730 Penápolis;35;38;36;25;30;41;33;35;40;48;31;24;23;18;27;31;41;41;34;631
353740 Pereira Barreto;18;25;16;12;12;15;18;14;18;20;15;14;18;19;22;21;12;20;20;329
353750 Pereiras;7;7;3;3;-;3;3;1;6;7;5;5;4;6;2;3;5;7;4;81
353760 Peruíbe;47;54;43;54;58;52;77;64;67;51;56;48;42;52;55;51;58;42;35;1006
353770 Piacatu;2;6;4;3;2;2;3;3;3;6;5;2;5;3;6;6;1;4;2;68
353780 Piedade;26;22;25;25;29;41;33;41;33;38;29;41;45;47;35;34;28;34;42;648
353790 Pilar do Sul;16;8;10;13;15;22;13;16;27;13;11;12;12;17;29;12;17;28;20;311
353800 Pindamonhangaba;73;97;75;87;77;78;93;79;106;74;68;59;88;81;95;81;76;82;97;1566
353810 Pindorama;13;12;7;7;9;6;5;9;10;9;10;7;10;9;12;9;11;9;11;175
353820 Pinhalzinho;8;4;3;7;6;8;10;7;7;10;6;3;10;14;7;13;6;8;11;148
353830 Piquerobi;2;1;-;1;3;3;2;1;-;-;3;1;4;4;1;3;-;4;-;33
353850 Piquete;10;6;8;5;7;7;3;4;9;8;6;3;8;6;8;5;9;5;2;119
353860 Piracaia;20;11;21;12;17;15;15;10;29;18;19;14;16;19;17;19;17;13;18;320
353870 Piracicaba;228;213;227;257;217;195;260;210;247;261;230;232;239;214;227;248;224;243;221;4393
353880 Piraju;17;11;16;10;17;15;18;20;23;12;17;12;18;14;15;14;11;16;23;299
353890 Pirajuí;10;11;11;18;5;16;12;8;16;10;8;5;12;18;13;15;16;10;14;228
353900 Pirangi;4;2;8;6;6;8;9;3;5;6;9;6;4;10;7;11;8;14;13;139
353910 Pirapora do Bom Jesus;18;8;8;9;5;11;11;7;5;12;9;8;11;15;16;13;15;8;9;198
353920 Pirapozinho;11;8;21;10;9;11;14;10;15;16;12;4;12;9;14;20;14;19;18;247
353930 Pirassununga;47;32;41;46;47;53;36;37;51;35;38;53;33;32;29;48;53;50;36;797
353940 Piratininga;6;7;10;12;6;7;13;8;6;5;2;8;7;10;8;12;7;13;3;150
353950 Pitangueiras;23;23;22;25;19;13;24;21;21;16;19;23;11;13;14;14;16;19;25;361
353960 Planalto;4;2;3;1;2;-;-;1;4;3;1;4;5;4;2;3;1;3;3;46
353970 Platina;1;4;3;2;1;-;2;1;1;1;1;1;2;1;-;1;1;4;-;27
353980 Poá;67;67;60;76;73;86;56;83;63;61;79;31;47;44;48;41;55;56;54;1147
353990 Poloni;2;5;3;1;2;5;5;2;6;3;4;3;7;2;4;3;5;3;3;68
354000 Pompéia;8;6;12;8;9;7;9;15;12;6;5;5;9;14;8;8;13;4;10;168
354010 Pongaí;-;1;3;3;4;2;3;1;-;2;1;3;3;1;4;4;6;1;1;43
354020 Pontal;21;24;18;22;20;22;30;40;32;27;19;28;20;19;31;20;26;24;29;472
354025 Pontalinda;1;2;-;-;4;1;-;2;2;3;4;2;4;4;5;2;3;1;3;43
354030 Pontes Gestal;1;1;1;-;2;2;2;1;2;2;-;2;2;5;2;1;3;2;-;31
354040 Populina;1;3;1;5;5;4;2;6;8;-;-;2;2;4;1;2;4;1;1;52
354050 Porangaba;5;6;4;2;2;11;5;6;9;2;7;7;6;5;6;6;6;8;10;113
354060 Porto Feliz;30;25;33;38;26;25;25;21;24;20;33;24;36;28;24;37;31;27;28;535
354070 Porto Ferreira;34;32;31;40;37;34;40;43;29;33;47;32;29;27;32;27;28;19;28;622
354075 Potim;4;6;2;9;7;7;15;7;15;9;10;6;8;9;9;15;17;7;19;181
354080 Potirendaba;7;7;4;4;13;4;12;11;4;6;6;6;5;12;5;14;5;13;13;151
354085 Pracinha;-;-;2;1;1;-;2;2;2;2;-;2;1;1;-;2;1;-;-;19
354090 Pradópolis;8;5;4;9;11;6;12;3;4;11;10;10;14;10;20;13;6;11;9;176
354100 Praia Grande;254;260;266;295;340;273;273;232;192;172;171;174;165;181;160;187;183;166;135;4079
354105 Pratânia;-;5;1;1;4;5;2;7;3;4;-;3;2;6;4;5;2;3;3;60
354110 Presidente Alves;2;-;-;1;-;1;3;3;-;1;1;-;1;1;-;-;2;2;2;20
354120 Presidente Bernardes;11;9;6;14;18;4;12;12;6;11;4;5;7;9;3;4;5;7;7;154
354130 Presidente Epitácio;26;36;20;34;47;28;21;25;28;19;21;22;27;26;26;26;19;27;16;494
354140 Presidente Prudente;122;131;123;115;110;115;112;120;138;143;100;92;116;123;131;122;116;137;128;2294
354150 Presidente Venceslau;27;27;19;24;15;16;16;21;26;28;23;9;16;18;21;24;14;31;14;389
354160 Promissão;23;23;10;30;22;10;11;21;18;23;23;11;15;19;26;18;22;23;16;364
354165 Quadra;-;3;1;2;1;3;2;-;1;4;1;4;-;3;-;5;1;6;4;41
354170 Quatá;9;8;2;5;6;6;6;3;8;9;6;9;6;8;10;3;5;5;2;116
354180 Queiroz;1;1;-;1;1;-;3;1;1;1;3;1;3;1;2;2;1;1;4;28
354190 Queluz;18;10;12;13;9;5;2;7;6;5;7;2;5;6;2;2;6;7;6;130
354200 Quintana;3;5;2;1;1;8;2;2;5;4;1;1;5;1;1;4;3;6;5;60
354210 Rafard;6;7;5;2;3;3;5;7;5;6;5;3;5;1;6;2;6;5;4;86
354220 Rancharia;31;13;20;19;11;11;12;11;11;18;9;15;20;17;24;20;17;19;20;318
354230 Redenção da Serra;8;8;3;4;4;2;8;1;3;-;5;2;1;3;3;-;3;5;2;65
354240 Regente Feijó;12;16;9;14;12;7;8;9;12;11;12;7;6;16;12;5;17;12;13;210
354250 Reginópolis;5;5;1;5;3;2;3;3;4;2;2;4;2;4;3;5;6;5;7;71
354260 Registro;67;53;53;55;49;47;42;49;41;62;42;33;39;31;44;32;30;41;35;845
354270 Restinga;4;7;1;3;7;-;4;3;10;5;5;1;3;2;6;7;1;4;4;77
354280 Ribeira;4;-;7;3;5;2;1;-;1;3;1;8;3;6;5;1;3;5;3;61
354290 Ribeirão Bonito;2;4;5;2;5;5;7;3;3;6;13;13;8;6;5;3;10;12;10;122
354300 Ribeirão Branco;11;17;9;10;9;12;18;7;15;12;10;15;10;14;10;18;10;13;11;231
354310 Ribeirão Corrente;1;-;1;3;4;1;2;3;1;2;2;2;2;-;1;5;2;3;-;35
354320 Ribeirão do Sul;2;5;1;6;1;5;2;4;3;3;2;3;3;3;4;4;-;1;1;53
354323 Ribeirão dos Índios;-;1;-;1;2;-;-;-;1;1;-;1;-;-;-;6;1;1;2;17
354325 Ribeirão Grande;3;1;4;1;1;4;3;1;4;1;2;4;2;4;4;3;3;6;4;55
354330 Ribeirão Pires;92;71;66;95;79;73;71;74;64;61;65;74;59;79;55;58;60;67;84;1347
354340 Ribeirão Preto;505;495;439;492;473;409;445;308;290;316;295;327;345;398;407;387;478;444;464;7717
354360 Rifaina;5;-;5;3;6;2;3;1;4;3;2;-;8;5;3;3;4;3;1;61
354370 Rincão;8;4;8;7;7;5;5;4;1;3;5;6;4;3;8;5;4;5;5;97
354380 Rinópolis;5;4;6;16;13;5;6;2;3;4;3;7;8;7;4;8;12;6;6;125
354390 Rio Claro;119;137;127;109;127;144;183;145;157;116;114;93;97;106;108;119;110;120;129;2360
354400 Rio das Pedras;9;15;20;17;16;13;25;18;25;15;14;16;16;21;18;25;15;16;22;336
354410 Rio Grande da Serra;32;34;43;50;35;30;32;16;31;33;14;23;22;27;14;22;21;27;20;526
354420 Riolândia;2;3;2;4;3;4;4;4;7;5;4;6;6;5;4;1;15;5;9;93
354350 Riversul;4;5;7;7;4;2;3;7;3;4;2;4;3;-;4;3;3;1;4;70
354425 Rosana;11;10;7;17;12;25;11;13;8;16;15;12;7;9;16;11;25;10;20;255
354430 Roseira;8;4;4;8;1;3;3;5;7;6;5;4;5;6;6;4;10;10;3;102
354440 Rubiácea;-;1;1;-;2;1;1;-;-;4;1;-;4;2;2;2;1;2;-;24
354450 Rubinéia;-;3;2;3;1;3;2;2;1;1;3;2;4;1;2;3;3;4;1;41
354460 Sabino;2;3;6;1;4;1;4;3;4;1;1;2;2;6;7;3;8;4;6;68
354470 Sagres;-;2;-;1;-;-;2;1;-;1;1;1;-;-;-;-;1;-;1;11
354480 Sales;6;5;7;3;1;6;1;3;7;7;2;7;5;4;6;6;4;4;6;90
354490 Sales Oliveira;5;8;2;5;5;1;7;6;6;5;3;6;-;4;3;5;7;7;5;90
354500 Salesópolis;9;11;9;15;14;10;3;13;7;12;10;11;9;14;11;6;10;5;8;187
354510 Salmourão;2;-;2;1;3;1;3;-;6;3;4;1;-;3;1;3;3;1;2;39
354515 Saltinho;3;2;6;2;3;1;6;5;3;4;2;3;6;5;5;6;3;3;2;70
354520 Salto;63;64;71;64;52;57;65;99;85;70;59;60;61;63;51;53;72;65;63;1237
354530 Salto de Pirapora;23;26;28;20;16;20;23;26;26;24;23;28;26;27;26;22;26;36;15;461
354540 Salto Grande;6;8;7;10;6;9;7;11;10;9;5;2;6;2;9;6;3;3;3;122
354550 Sandovalina;2;4;2;-;2;2;3;3;1;-;1;-;1;2;4;2;2;2;-;33
354560 Santa Adélia;10;13;6;11;8;5;10;9;8;9;13;6;7;12;4;12;9;9;11;172
354570 Santa Albertina;1;4;2;5;2;1;3;3;2;4;1;1;5;4;3;3;6;7;5;62
354580 Santa Bárbara d'Oeste;90;105;105;105;111;105;120;93;114;126;91;94;98;83;79;96;101;86;76;1878
354600 Santa Branca;12;14;9;6;9;9;3;3;6;5;10;5;7;11;6;7;7;9;13;151
354610 Santa Clara d'Oeste;-;1;-;-;1;-;-;2;1;3;1;-;-;1;2;-;-;1;-;13
354620 Santa Cruz da Conceição;4;4;3;4;3;1;2;1;2;2;4;1;1;1;1;1;1;3;3;42
354625 Santa Cruz da Esperança;-;1;-;-;-;-;1;1;2;2;2;1;1;-;4;-;-;1;1;17
354630 Santa Cruz das Palmeiras;15;16;21;25;15;8;19;21;10;24;12;16;23;25;14;17;15;14;14;324
354640 Santa Cruz do Rio Pardo;28;23;20;39;25;24;29;24;18;20;23;16;27;19;19;17;29;17;22;439
354650 Santa Ernestina;6;3;1;2;8;5;3;1;3;-;1;4;3;6;1;5;6;2;2;62
354660 Santa Fé do Sul;19;14;16;23;24;12;16;4;15;12;10;10;15;9;10;21;11;22;26;289
354670 Santa Gertrudes;12;7;11;4;14;6;9;10;9;13;13;8;9;15;14;14;13;6;7;194
354680 Santa Isabel;38;31;40;32;25;28;37;39;31;28;24;30;20;27;25;34;26;25;39;579
354690 Santa Lúcia;5;2;1;1;4;5;2;6;5;7;3;4;5;4;5;4;6;3;6;78
354700 Santa Maria da Serra;5;7;3;4;4;8;5;4;7;7;10;5;3;3;4;5;7;6;2;99
354710 Santa Mercedes;-;2;1;2;5;1;1;1;1;-;1;1;3;1;1;3;2;-;1;27
354740 Santa Rita d'Oeste;1;2;3;1;-;3;1;3;2;1;-;-;3;1;1;1;-;-;1;24
354750 Santa Rita do Passa Quatro;21;17;13;15;14;27;14;12;16;17;11;19;20;12;15;18;24;14;14;313
354760 Santa Rosa de Viterbo;8;13;11;10;13;15;9;12;6;6;10;8;8;10;9;15;14;12;11;200
354765 Santa Salete;-;1;-;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;1;7
354720 Santana da Ponte Pensa;2;2;-;-;-;1;-;3;1;-;1;-;2;-;-;3;-;-;-;15
354730 Santana de Parnaíba;43;58;66;65;51;55;66;61;61;73;59;40;45;32;54;49;55;56;56;1045
354770 Santo Anastácio;11;16;12;15;7;11;9;11;14;12;8;12;8;11;14;13;12;20;7;223
354780 Santo André;611;585;542;593;614;550;519;509;496;407;417;352;394;399;389;385;392;400;462;9016
354790 Santo Antônio da Alegria;5;10;10;5;4;2;3;3;1;4;5;2;4;2;2;2;6;7;3;80
354800 Santo Antônio de Posse;15;8;11;13;15;22;13;16;19;20;13;13;19;12;16;23;14;15;12;289
354805 Santo Antônio do Aracanguá;3;4;2;6;1;4;-;4;-;6;5;3;1;5;3;5;7;5;4;68
354810 Santo Antônio do Jardim;4;4;3;4;4;3;3;3;3;7;2;3;9;3;4;2;5;3;5;74
354820 Santo Antônio do Pinhal;7;1;5;8;1;7;5;2;2;5;6;1;6;5;3;1;1;4;2;72
354830 Santo Expedito;1;2;-;3;2;3;1;-;3;1;1;2;4;3;2;2;1;4;2;37
354840 Santópolis do Aguapeí;-;4;3;-;5;3;3;3;1;2;2;5;5;3;3;4;-;3;5;54
354850 Santos;390;405;419;407;342;342;280;283;275;265;243;197;205;213;225;237;235;232;210;5405
354860 São Bento do Sapucaí;7;3;8;6;7;8;6;4;3;7;6;1;4;7;5;6;3;7;4;102
354870 São Bernardo do Campo;715;684;700;741;710;572;532;563;540;459;418;396;389;412;376;387;384;376;427;9781
354880 São Caetano do Sul;95;97;92;79;85;70;89;83;85;67;65;57;70;55;58;57;41;59;50;1354
