1996;33137
1997;32781
1998;32134
1999;34108
2000;33896
2001;34009
2002;32958
2003;31395
2004;29492
2005;27523
2006;25013
2007;23241
2008;23837
2009;24048
2010;24151
2011;24276
2012;25041
2013;24156
2014;25095
